gender,orientation,gender_orientation,age,ethnicity,country,education_phase,religion_type,religion_seriosity,man_with_100,woman_with_100
Woman,Straight,Hetero_female,22,NA,Australia,NA,Other,NA,No,No
Man,Straight,Hetero_male,33,White,UK,Dropped out of,Agnosticism,NA,No,No
Man,Straight,Hetero_male,21,Hispanic / Latin,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,25,NA,Australia,Working on,Christianity,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,28,White,Netherlands,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,26,White,NY,NA,Other,NA,No,No
Man,Straight,Hetero_male,30,"Asian, White",CA,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,26,White,Sweden,Graduated from,Other,but not too serious about it,No,No
Woman,Straight,Hetero_female,30,White,UK,Dropped out of,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,24,"Middle Eastern, White",Australia,Dropped out of,-,NA,No,No
Man,Straight,Hetero_male,28,White,NY,Graduated from,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,24,White,Netherlands,NA,-,NA,No,No
Woman,Straight,Hetero_female,23,White,UK,Working on,Agnosticism,NA,No,No
Man,Straight,Hetero_male,23,White,Denmark,Working on,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,27,NA,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,32,White,Sweden,NA,-,NA,No,No
Woman,Bisexual,Bisexual_female,45,"Asian, Other",NY,Graduated from,Other,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,26,NA,UK,Graduated from,Atheism,NA,No,No
Woman,Gay,Gay_female,27,White,Denmark,NA,-,NA,No,No
Man,Straight,Hetero_male,28,White,NY,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,29,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,32,White,NY,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,27,"Black, Other",LA,Graduated from,Christianity,and very serious about it,No,No
Man,Straight,Hetero_male,26,White,Sweden,Dropped out of,-,NA,Yes,Yes
Man,Straight,Hetero_male,26,White,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,30,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,37,NA,NY,NA,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,24,White,UK,Graduated from,Agnosticism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,24,White,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,22,White,UK,Working on,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,26,Black,NY,Working on,Agnosticism,NA,Yes,Yes
Woman,Straight,Hetero_female,39,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,29,Hispanic / Latin,NY,NA,-,NA,Yes,Yes
Man,Straight,Hetero_male,34,NA,Denmark,NA,-,NA,No,No
Man,Straight,Hetero_male,25,White,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,28,White,Ireland,Graduated from,Other,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,19,White,NY,Working on,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,33,Black,UK,NA,-,NA,No,No
Man,Gay,Gay_male,22,White,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,29,White,Netherlands,Graduated from,Atheism,NA,No,No
Man,Bisexual,Bisexual_male,30,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,35,White,NY,NA,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,22,White,NY,Working on,Judaism,but not too serious about it,No,No
Woman,Straight,Hetero_female,30,Other,LA,NA,-,NA,No,No
Woman,Bisexual,Bisexual_female,28,Other,NY,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,29,White,NY,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,31,White,Germany,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,32,White,UK,NA,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,22,White,LA,Working on,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,19,White,LA,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Gay,Gay_male,22,White,Denmark,Graduated from,Christianity,and laughing about it,No,No
Woman,Straight,Hetero_female,28,White,Netherlands,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,38,White,UK,NA,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,27,NA,Denmark,NA,-,NA,No,No
Man,Straight,Hetero_male,27,White,UK,NA,Catholicism,but not too serious about it,No,No
Man,Gay,Gay_male,25,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,24,White,UK,NA,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,41,NA,NY,Graduated from,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,25,NA,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,29,NA,NY,Graduated from,-,NA,No,No
